"site","unique_storm_number","storm_start","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max"
"SW1",1,2012-01-31 12:00:00,2012-01-17 12:00:00,15.4,11.2,15.4,10.1333333333333,15.4,16.0571428571429,30,10.9285714285714,30
"SW1",3,2012-02-29 04:30:00,2012-02-15 04:30:00,30,18.2,30,14.2,30,9.75857142857143,30,9.22142857142857,30
"SW1",4,2012-03-06 21:00:00,2012-02-21 21:00:00,149,78.655,149,55.8366666666667,149,53.7728571428571,149,31.7657142857143,149
"SW1",5,2012-03-07 21:00:00,2012-02-22 21:00:00,327,238,327,161.436666666667,327,85.3442857142857,327,54.6292857142857,327
"SW1",9,2012-04-19 20:35:00,2012-04-05 20:35:00,132,70.825,132,50.6166666666667,132,28.5985714285714,132,18.2807142857143,132
"SW1",22,2012-06-18 17:46:00,2012-06-04 17:46:00,3.28,1.985,3.28,1.53666666666667,3.28,1.10285714285714,3.28,1.58857142857143,3.28
"SW1",27,2012-07-17 15:38:59,2012-07-03 15:38:59,0,0,0,0.00333333333333333,0.01,0.0385714285714286,0.09,0.248571428571429,1.04
"SW1",30,2012-07-25 19:27:00,2012-07-11 19:27:00,0.89,0.615,0.89,0.566666666666667,0.89,1.17285714285714,2.94,1.64642857142857,7.9
"SW1",32,2012-07-26 13:52:59,2012-07-12 13:52:59,0.89,0.615,0.89,0.566666666666667,0.89,1.17285714285714,2.94,1.64642857142857,7.9
"SW1",37,2012-08-04 16:47:59,2012-07-21 16:47:59,0.93,0.95,0.97,1.01333333333333,1.14,2.30428571428571,6.14,4.29,21.5
"SW1",38,2012-08-09 07:39:59,2012-07-26 07:39:59,5.47,3.665,5.47,3.59,5.47,5.59571428571429,16.2,6.7,21.5
"SW1",39,2012-10-14 04:30:00,2012-09-30 04:30:00,21.1,10.915,21.1,7.28333333333333,21.1,3.12142857142857,21.1,1.56071428571429,21.1
"SW1",40,2012-10-17 21:15:00,2012-10-03 21:15:00,50.6,40.4,50.6,56.3666666666667,88.3,44.85,123,22.425,123
"SW1",42,2012-11-11 17:30:00,2012-10-28 18:30:00,4.46,4.215,4.46,4.13333333333333,4.46,4.15714285714286,4.46,5.15928571428571,8.88
"SW1",45,2013-01-10 19:54:59,2012-12-27 19:54:59,8,5.85,8,5.13333333333333,8,4.33,8,4.17,8
"SW1",46,2013-01-29 00:00:00,2013-01-15 00:00:00,27,16,27,11.6666666666667,27,6.42857142857143,27,6.94285714285714,27
"SW1",48,2013-03-09 21:09:59,2013-02-23 21:09:59,100,58.5,100,43.6666666666667,100,26.2857142857143,100,21.0714285714286,100
"SW1",50,2013-03-27 10:00:00,2013-03-13 10:00:00,70,56.5,70,53.3333333333333,70,51.8571428571429,70,71.1428571428571,160
"SW1",51,2013-03-30 09:27:59,2013-03-16 09:27:59,294,297,300,258,300,140.428571428571,300,100.714285714286,300
"SW1",53,2013-04-06 09:11:59,2013-03-23 09:11:59,162,173,184,178.333333333333,189,231.714285714286,318,186.071428571429,318
"SW1",55,2013-04-08 09:11:59,2013-03-25 09:11:59,175,176.5,178,171.666666666667,178,194.428571428571,261,204.428571428571,318
"SW1",56,2013-04-09 09:40:59,2013-03-26 09:40:59,200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318
"SW1",57,2013-04-11 08:42:00,2013-03-28 08:42:00,605,680.5,756,520.333333333333,756,322.857142857143,756,295,756
"SW1",59,2013-04-15 01:47:00,2013-04-01 01:47:00,208,182,208,215.333333333333,282,364.571428571429,756,279.5,756
"SW1",61,2013-04-17 13:14:59,2013-04-03 13:14:59,121,166.5,212,180.333333333333,212,275.571428571429,605,269.5,756
"SW1",64,2013-05-02 17:53:00,2013-04-18 17:53:00,24.7,23.85,24.7,23.9666666666667,24.7,25.1428571428571,30.9,50.6785714285714,177
"SW1",69,2013-07-08 06:18:59,2013-06-24 06:18:59,65.1,33.555,65.1,23.1866666666667,65.1,11.8514285714286,65.1,11.8214285714286,65.1
"SW1",73,2013-10-31 23:06:59,2013-10-17 23:06:59,23.7,13.66,23.7,9.31,23.7,4.34142857142857,23.7,2.55142857142857,23.7
"SW1",75,2013-11-05 19:43:00,2013-10-22 20:43:00,44.2,24.285,44.2,18.33,44.2,16.6442857142857,44.2,8.62928571428571,44.2
"SW1",77,2013-11-17 10:02:00,2013-11-03 10:02:00,80.5,42.72,80.5,29.7166666666667,80.5,16.2,80.5,18.2778571428571,80.5
"SW1",81,2014-03-10 13:45:00,2014-02-24 12:45:00,2.98,2.765,2.98,2.6,2.98,2.12714285714286,2.98,1.97642857142857,2.98
"SW1",82,2014-03-14 02:14:00,2014-02-28 01:14:00,4.28,4.17,4.28,4.02666666666667,4.28,3.32428571428571,4.28,2.48642857142857,4.28
"SW1",83,2014-03-18 10:45:00,2014-03-04 09:45:00,5.14,5.06,5.14,4.97,5.14,4.50714285714286,5.14,3.44642857142857,5.14
"SW1",85,2014-03-27 11:15:00,2014-03-13 11:15:00,46.8,43.15,46.8,39.8333333333333,46.8,27.52,46.8,16.3221428571429,46.8
"SW1",87,2014-04-12 12:45:59,2014-03-29 12:45:59,65.7,51.8,65.7,49.8666666666667,65.7,60.8714285714286,78.4,97.1,218
"SW1",88,2014-04-13 01:43:59,2014-03-30 01:43:59,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
"SW1",89,2014-04-13 18:24:59,2014-03-30 18:24:59,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
"SW1",90,2014-04-14 06:42:59,2014-03-31 06:42:59,886,579.5,886,408.233333333333,886,204.6,886,151.457142857143,886
"SW1",93,2014-05-12 05:24:59,2014-04-28 05:24:59,194,108.1,194,82.2333333333333,194,53.9428571428571,194,56.2214285714286,194
"SW1",95,2014-06-01 20:46:59,2014-05-18 20:46:59,500,263.95,500,178.156666666667,500,81.8442857142857,500,57.4864285714286,500
"SW1",96,2014-06-02 10:32:00,2014-05-19 10:32:00,500,263.95,500,178.156666666667,500,81.8442857142857,500,57.4864285714286,500
"SW1",97,2014-06-18 05:15:59,2014-06-04 05:15:59,91.8,48.575,91.8,33.7533333333333,91.8,18.8614285714286,91.8,38.5592857142857,155
"SW1",100,2014-08-12 03:22:59,2014-07-29 03:22:59,7.85,4.095,7.85,2.87666666666667,7.85,1.55714285714286,7.85,1.54785714285714,7.85
"SW1",103,2014-09-04 20:08:59,2014-08-21 20:08:59,110,57.87,110,39.1433333333333,110,17.8571428571429,110,10.7442857142857,110
"SW1",104,2014-09-05 05:33:59,2014-08-22 05:33:59,110,57.87,110,39.1433333333333,110,17.8571428571429,110,10.7442857142857,110
"SW1",106,2014-09-20 03:26:00,2014-09-06 03:26:00,2.65,2.515,2.65,2.61333333333333,2.81,4.23571428571429,8.36,5.97928571428571,16.3
"SW1",107,2014-09-21 04:30:00,2014-09-07 04:30:00,34.6,18.625,34.6,13.21,34.6,7.98428571428571,34.6,7.28642857142857,34.6
"SW1",109,2014-10-03 03:00:00,2014-09-19 03:00:00,7.91,5.265,7.91,4.33333333333333,7.91,3.45,7.91,10.26,44.8
"SW1",110,2014-10-13 19:18:59,2014-09-29 19:18:59,119,60.805,119,41.33,119,19.7014285714286,119,13.6814285714286,119
"SW1",123,2015-04-09 14:21:00,2015-03-26 14:21:00,62.6,39.65,62.6,32,62.6,23.1571428571429,62.6,17.8571428571429,62.6
"SW1",124,2015-04-09 19:14:59,2015-03-26 19:14:59,262,162.3,262,113.766666666667,262,58.1571428571429,262,35.5714285714286,262
"SW1",125,2015-04-10 01:00:00,2015-03-27 01:00:00,262,162.3,262,113.766666666667,262,58.1571428571429,262,35.5714285714286,262
