"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","prcp","snow","snwd","snwd_diff","period","period_crop","days_since_planting","days_since_fertilizer"
1,"East SW1-1",275,13.4,2.7,0.57,3.21,0.298,0.731,5.91,2.64,26.8476395,1.308212252,0.263595006,0.0556478346,0.3133851738,0.02909307844,0.07136590718,0.5769801798,0.2577373392,1563.84,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY12","2012-01-31 12:00:00","2012-01-31 20:15:00","2012-01-31 12:00:00","2012-01-31 21:00:00",0.0903,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,11.2,15.4,10.1333333333333,15.4,16.0571428571429,30,10.9285714285714,30,0.493775550159977,0.869589389346611,8.3,-6.7,0,0,2.9921276,0,"before","before",0,122
3,"East SW1-2a,East SW1-2b",458.597402597403,5.22792207792208,2.50584415584416,0.417857142857143,2.32045454545455,0.113344155844156,0.490831168831169,4.8262987012987,1.9025974025974,76.18634624,0.868509676,0.416293484,0.069418206,0.385494886,0.0188297558,0.08154131088,0.80178837,0.31607668,2661.12,"HT, HT","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","TRUE, TRUE","NA, NA","SW1","WY12","2012-02-29 04:45:00","2012-02-29 17:15:00","2012-02-29 04:30:00","2012-02-29 17:30:00",0.0804,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18.2,30,14.2,30,9.75857142857143,30,9.22142857142857,30,0.849817091527528,0.527077708642372,3.9,0,0.5118113,0.393701,2.0078751,2.0078751,"before","before",0,151
4,"East SW1-3",2371,17.4,6,0.23,6.6,0.182,2.44,12.6,6.37,794.17825758,5.828216652,2.00972988,0.0770396454,2.210702868,0.06096180636,0.8172901512,4.220432748,2.1336632226,5365.44,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"SW1","WY12","2012-03-06 21:15:00","2012-03-07 13:50:00","2012-03-06 21:00:00","2012-03-07 13:54:59",0.1947,"2012-03-06 21:00:00","2012-03-07 20:10:00",0.027,23.1666666666667,0.00116546762589928,0.648,0.324,0.216,0.108,0.054,28.9379865830236,0.0312530255096655,26.6044356849675,0.0287327905397649,0,0,0,0,149,78.655,149,55.8366666666667,149,53.7728571428571,149,31.7657142857143,149,0.907013812802636,0.42110087079609,14.4,-2.8,0.14960638,0,2.50000135,-5.0000027,"before","before",0,157
5,"East SW1-4",3978,27.8,10,0.48,15,0.219,5.61,25,14.52,276.78931956,1.934324556,0.6958002,0.0333984096,1.0437003,0.01523802438,0.3903439122,1.7395005,1.0103018904,1114.56,NA,NA,NA,NA,NA,NA,NA,"TRUE","Komiskey, Matthew J.:suspect frost came out after this storm! No soil temp probe in at this point","SW1","WY12","2012-03-07 21:04:59","2012-03-08 05:30:00","2012-03-07 21:00:00","2012-03-08 05:44:59",0.2234,"2012-03-07 20:10:00","2012-03-08 01:55:00",0.297,5.75,0.0516521739130435,0.756,0.486,0.432,0.342,0.207,198.871553964552,0.680140714558769,205.756347769595,0.703686709372015,0,0,0,0,327,238,327,161.436666666667,327,85.3442857142857,327,54.6292857142857,327,0.914127988185334,0.405425728359997,14.4,-1.1,0.18110246,0.787402,0,-5.0000027,"before","before",0,158
9,"East SW1-6",2483,30.5,17.5,0.1,9,0.13,2.46,26.5,8.9,984.3711969,12.09155115,6.93777525,0.03964443,3.5679987,0.051537759,0.975252978,10.50577395,3.52835427,6350.4,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-04-19 20:39:59","2012-04-20 22:00:00","2012-04-19 20:35:00","2012-04-20 02:55:00",0.6134,"2012-04-19 16:40:00","2012-04-20 02:40:00",1.44,10,0.144,0.432,0.378,0.36,0.324,0.297,845.863401433394,2.7405974206442,974.154612779722,3.1562609454063,0,0,0,0,132,70.825,132,50.6166666666667,132,28.5985714285714,132,18.2807142857143,132,0.948361580012172,-0.317191288589106,10.6,1.7,1.03149662,0,0,0,"before","before",0,201
22,"ESW1-11",839,347,118,9.6,34.7,1.23,3.63,152.7,25.1,71.04875174,29.38488302,9.99255388,0.812953536,2.938488302,0.1041596718,0.3073980558,12.931042182,2.125534766,1356.48,"HT",NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-06-18 17:46:59","2012-06-19 06:15:00","2012-06-18 17:46:00","2012-06-19 06:29:59",0.1564,"2012-06-18 17:28:00","2012-06-18 19:07:00",0.492,1.65,0.298181818181818,1.56,1.218,0.884,0.586,0.393,427.00156138385,2.50222914970936,416.932879320875,2.44322667282033,0,0,0,0,3.28,1.985,3.28,1.53666666666667,3.28,1.10285714285714,3.28,1.58857142857143,3.28,0.230305670230613,-0.973118337233262,32.8,18.9,1.1417329,0,0,0,"before","before",42,42
27,"ESW1-12",2881,17.2,6.1,0.44,9.8,0.337,3.07,15.9,9.36,130.53211752,0.779296224,0.276378312,0.0199354848,0.444017616,0.01526876904,0.1390953144,0.720395928,0.4240821312,725.76,NA,NA,NA,NA,NA,"Q",NA,"FALSE",NA,"SW1","WY12","2012-07-17 15:42:59","2012-07-17 17:12:00","2012-07-17 15:38:59","2012-07-17 17:15:00",0.7549,"2012-07-17 15:33:00","2012-07-17 16:39:00",1.532,1.1,1.39272727272727,4.584,3.612,3.336,2.758,1.523,1612.65257367717,44.4769579820163,1567.65086050724,43.2358107327896,0,0,0,0,0,0,0,0.00333333333333333,0.01,0.0385714285714286,0.09,0.248571428571429,1.04,-0.263665492728007,-0.964614175691244,32.8,20.6,1.38976453,0,0,0,"before","before",71,71
30,"ESW1-13",2988,36.7,6.3,0.4,10.8,0.592,3.09,17.1,10.4,332.00349264,4.077820676,0.700007364,0.044444912,1.200012624,0.06577846976,0.3433369452,1.900019988,1.155567712,1779.84,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-07-25 19:27:00","2012-07-25 23:44:59","2012-07-25 19:27:00","2012-07-25 23:44:59",1.21,"2012-07-25 19:25:00","2012-07-25 20:31:00",1.486,1.1,1.35090909090909,5.016,4.554,3.98,2.492,1.468,1565.1032069732,39.0023719177722,1517.33017568802,37.8118679781454,0,0,0,1.532,0.89,0.615,0.89,0.566666666666667,0.89,1.17285714285714,2.94,1.64642857142857,7.9,-0.409355958815621,-0.912374757970727,32.8,18.9,0.57086645,0,0,0,"before","before",79,79
32,"ESW1-14",1395,55.1,3.2,0.24,8.49,0.974,2.79,11.69,8.25,90.292212,3.56638056,0.20712192,0.015534144,0.549520344,0.0630427344,0.180584424,0.756642264,0.5339862,1036.8,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-07-26 13:56:00","2012-07-26 17:30:00","2012-07-26 13:52:59","2012-07-26 17:30:59",0.5332,"2012-07-26 13:52:00","2012-07-26 14:28:00",0.409,0.6,0.681666666666667,1.44,1.32,1.168,0.8,0.409,393.424207555912,3.1473936604473,369.616048534576,2.95692838827661,1.486,1.486,1.486,3.018,0.89,0.615,0.89,0.566666666666667,0.89,1.17285714285714,2.94,1.64642857142857,7.9,-0.409355958815621,-0.912374757970727,28.3,18.9,1.2204731,0,0,0,"before","before",80,80
37,"ESW1-15",903,20.4,0.8,0.08,4.79,0.55,1.64,5.59,4.71,56.49897624,1.276388832,0.050054464,0.0050054464,0.2997011032,0.034412444,0.1026116512,0.3497555672,0.2946956568,1002.24,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,"SW1","WY12","2012-08-04 16:48:59","2012-08-04 19:25:59","2012-08-04 16:47:59","2012-08-04 19:27:00",0.7495,"2012-08-04 16:41:00","2012-08-04 17:39:00",1.066,0.966666666666667,1.10275862068966,3.024,2.118,1.972,1.366,1.066,1104.17347117604,15.0830096162647,1046.19288384843,14.2909947933695,0,0,0,1.895,0.93,0.95,0.97,1.01333333333333,1.14,2.30428571428571,6.14,4.29,21.5,-0.545240438540651,-0.838279705217775,30.6,18.9,0.29133874,0,0,0,"before","before",89,89
