"response","response_clean","before_r2","after_r2","perc_diff","sd_perc_diff","median_diff","fifth_diff","ninetyfifth_diff","diff_sum","load_before","load_after","pval","perc_diff_frozen","sd_perc_diff_frozen","perc_diff_nonfrozen","sd_perc_diff_nonfrozen"
"Suspended_Sediment_mg_L","SS (mg/L)",49.3,66.1,67.5,42.7,82.7,-12,97.6,69.1,112133,34599,0,37.5,23.5,22.6,14.2
"Chloride_mg_L","Cl (mg/L)",-4.9,34.3,41.7,39.3,54,-28.7,86.5,48.6,4537,2333,0,15.9,15.4,20,18.6
"NO2_NO3_N_mg_L","NO2 + NO3 (mg/L)",9.5,-8.3,80.7,33.7,93.1,21.9,99,90.5,725,69,0,186.6,92.3,140,71.1
"Ammonium_N_mg_L","NH4 (mg/L)",34.8,49.5,45.8,54.3,62.1,-80.5,88.1,56.1,68,30,0,-202.7,1340.7,-134.8,610.7
"TKN_Unfiltered_mg_L","TKN (mg/L)",23.3,37.4,46,29.7,54,-6.3,74.8,52.1,787,377,0,32.4,28.2,35.9,19.7
"Dissolved_Reactive_Phosphorus_mg_L","DRP (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TP_Unfiltered_mg_L","TP (mg/L)",22.5,55.9,42.5,36.5,53.2,-33.5,77.8,46.3,225,121,0,204.2,110.2,46.7,283.4
"Total_Nitrogen_computed_mg_L","TN (mg/L)",16.6,4.5,61.6,21.7,67.7,24.2,85.9,67.5,1758,571,0,38.1,12.2,38.5,16.5
"Organic_Nitrogen_computed_mg_L","Org N (mg/L)",29.8,48.9,46.6,28.5,54.6,-13.5,75.8,51.8,695,335,0,44.8,35.4,36.8,20.9
"Suspended_Sediment_Load_pounds","SS (pounds)",59.8,67.8,61.1,59.8,80.7,-70,97.6,55.4,58786,26203,0,48.5,22.4,25.7,19.1
"Chloride_Load_pounds","Cl (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NO2_NO3_N_Load_pounds","NO2 + NO3 (pounds)",32.8,-0.2,68.3,86,92.2,-54.9,99,88,331,40,0,4.3,750,5.6,1394.4
"Ammonium_N_Load_pounds","NH4 (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TKN_Unfiltered_Load_pounds","TKN (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissolved_Reactive_Phosphorus_Load_pounds","DRP (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TP_Unfiltered_Load_pounds","TP (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total_Nitrogen_load_pounds","TN (pounds)",42.4,27.1,49.4,49.7,66.2,-18.8,89.7,58.3,753,314,0,64.8,40.4,15.1,616.2
"Organic_Nitrogen_Load_pounds","Org N (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
