"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge"
1,"East SW1-1",275,13.4,2.7,0.57,3.21,0.298,0.731,5.91,2.64,26.8476395,1.308212252,0.263595006,0.0556478346,0.3133851738,0.02909307844,0.07136590718,0.5769801798,0.2577373392,1563.84,"NA","NA","NA","NA","NA","NA","NA","TRUE","NA","SW1","WY12","2012-01-31 12:00:00","2012-01-31 20:15:00","2012-01-31 12:00:00","2012-01-31 21:00:00",0.0903
3,"East SW1-2a,East SW1-2b",458.597402597403,5.22792207792208,2.50584415584416,0.417857142857143,2.32045454545455,0.113344155844156,0.490831168831169,4.8262987012987,1.9025974025974,76.18634624,0.868509676,0.416293484,0.069418206,0.385494886,0.0188297558,0.08154131088,0.80178837,0.31607668,2661.12,"HT, HT","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","TRUE, TRUE","NA, NA","SW1","WY12","2012-02-29 04:45:00","2012-02-29 17:15:00","2012-02-29 04:30:00","2012-02-29 17:30:00",0.0804
4,"East SW1-3",2371,17.4,6,0.23,6.6,0.182,2.44,12.6,6.37,794.17825758,5.828216652,2.00972988,0.0770396454,2.210702868,0.06096180636,0.8172901512,4.220432748,2.1336632226,5365.44,"NA","NA","NA","NA","NA","NA","NA","TRUE","NA","SW1","WY12","2012-03-06 21:15:00","2012-03-07 13:50:00","2012-03-06 21:00:00","2012-03-07 13:54:59",0.1947
5,"East SW1-4",3978,27.8,10,0.48,15,0.219,5.61,25,14.52,276.78931956,1.934324556,0.6958002,0.0333984096,1.0437003,0.01523802438,0.3903439122,1.7395005,1.0103018904,1114.56,"NA","NA","NA","NA","NA","NA","NA","TRUE","Komiskey, Matthew J.:suspect frost came out after this storm! No soil temp probe in at this point","SW1","WY12","2012-03-07 21:04:59","2012-03-08 05:30:00","2012-03-07 21:00:00","2012-03-08 05:44:59",0.2234
9,"East SW1-6",2483,30.5,17.5,0.1,9,0.13,2.46,26.5,8.9,984.3711969,12.09155115,6.93777525,0.03964443,3.5679987,0.051537759,0.975252978,10.50577395,3.52835427,6350.4,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW1","WY12","2012-04-19 20:39:59","2012-04-20 22:00:00","2012-04-19 20:35:00","2012-04-20 02:55:00",0.6134
22,"ESW1-11",839,347,118,9.6,34.7,1.23,3.63,152.7,25.1,71.04875174,29.38488302,9.99255388,0.812953536,2.938488302,0.1041596718,0.3073980558,12.931042182,2.125534766,1356.48,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW1","WY12","2012-06-18 17:46:59","2012-06-19 06:15:00","2012-06-18 17:46:00","2012-06-19 06:29:59",0.1564
27,"ESW1-12",2881,17.2,6.1,0.44,9.8,0.337,3.07,15.9,9.36,130.53211752,0.779296224,0.276378312,0.0199354848,0.444017616,0.01526876904,0.1390953144,0.720395928,0.4240821312,725.76,"NA","NA","NA","NA","NA","Q","NA","FALSE","NA","SW1","WY12","2012-07-17 15:42:59","2012-07-17 17:12:00","2012-07-17 15:38:59","2012-07-17 17:15:00",0.7549
30,"ESW1-13",2988,36.7,6.3,0.4,10.8,0.592,3.09,17.1,10.4,332.00349264,4.077820676,0.700007364,0.044444912,1.200012624,0.06577846976,0.3433369452,1.900019988,1.155567712,1779.84,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW1","WY12","2012-07-25 19:27:00","2012-07-25 23:44:59","2012-07-25 19:27:00","2012-07-25 23:44:59",1.21
32,"ESW1-14",1395,55.1,3.2,0.24,8.49,0.974,2.79,11.69,8.25,90.292212,3.56638056,0.20712192,0.015534144,0.549520344,0.0630427344,0.180584424,0.756642264,0.5339862,1036.8,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW1","WY12","2012-07-26 13:56:00","2012-07-26 17:30:00","2012-07-26 13:52:59","2012-07-26 17:30:59",0.5332
37,"ESW1-15",903,20.4,0.8,0.08,4.79,0.55,1.64,5.59,4.71,56.49897624,1.276388832,0.050054464,0.0050054464,0.2997011032,0.034412444,0.1026116512,0.3497555672,0.2946956568,1002.24,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW1","WY12","2012-08-04 16:48:59","2012-08-04 19:25:59","2012-08-04 16:47:59","2012-08-04 19:27:00",0.7495
