"stormnum","StartDate","EndDate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","site","unique_storm_id"
1,2012-05-02 23:55:59,2012-05-03 08:57:00,1.979,9.01694444444444,0.219475678506516,2.88,2.28,1.92,1.424,1.068,1737.48809429308,24.7418304627335,1702.76529605832,24.2473778158705,0.46,0.46,0.46,1.9,"SW1","32"
2,2012-08-09 00:40:00,2012-08-10 05:38:00,1.819,28.9666666666667,0.0627963176064442,0.768,0.6,0.472,0.38,0.28,982.125358271486,3.73207636143165,1147.65697608693,4.36109650913032,0,0,1.066,1.475,"SW1","EST1-11"
3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"SW1","SW1-1"
4,2012-05-06 08:51:00,2012-05-06 12:15:00,0.774,3.4,0.227647058823529,0.54,0.486,0.504,0.432,0.378,525.728694389462,2.27114795976248,569.031777174073,2.45821727739199,0,0,2.439,2.439,"SW1","SW1-10"
5,2012-06-18 17:28:00,2012-06-18 19:07:00,0.492,1.65,0.298181818181818,1.56,1.218,0.884,0.586,0.393,427.00156138385,2.50222914970936,416.932879320875,2.44322667282033,0,0,0,0,"SW1","SW1-11"
6,2012-07-17 15:33:00,2012-07-17 16:39:00,1.532,1.1,1.39272727272727,4.584,3.612,3.336,2.758,1.523,1612.65257367717,44.4769579820163,1567.65086050724,43.2358107327896,0,0,0,0,"SW1","SW1-12"
7,2012-07-25 19:25:00,2012-07-25 20:31:00,1.486,1.1,1.35090909090909,5.016,4.554,3.98,2.492,1.468,1565.1032069732,39.0023719177722,1517.33017568802,37.8118679781454,0,0,0,1.532,"SW1","SW1-13"
8,2012-07-26 13:52:00,2012-07-26 14:28:00,0.409,0.6,0.681666666666667,1.44,1.32,1.168,0.8,0.409,393.424207555912,3.1473936604473,369.616048534576,2.95692838827661,1.486,1.486,1.486,3.018,"SW1","SW1-14"
9,2012-08-04 16:41:00,2012-08-04 17:39:00,1.066,0.966666666666667,1.10275862068966,3.024,2.118,1.972,1.366,1.066,1104.17347117604,15.0830096162647,1046.19288384843,14.2909947933695,0,0,0,1.895,"SW1","SW1-15"
10,2012-10-14 04:30:00,2012-10-15 00:47:00,2.457,20.2833333333333,0.12113393590797,0.864,0.81,0.72,0.648,0.477,1594.30374331414,10.3310882566756,1724.81051851791,11.1767721599961,0,0,0,0,"SW1","SW1-17"
11,2012-10-17 18:46:00,2012-10-19 12:58:00,0.72,42.2,0.0170616113744076,0.54,0.432,0.396,0.342,0.315,420.76495202226,1.43901613591613,443.332487009669,1.51619710557307,0,0,2.457,2.457,"SW1","SW1-18"
12,2012-11-11 14:35:00,2012-11-11 22:21:00,0.837,7.76666666666667,0.107768240343348,0.648,0.432,0.324,0.27,0.189,467.049773199418,1.26103438763843,540.720321979147,1.4599448693437,0,0,0,0,"SW1","SW1-19"
13,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"SW1","SW1-2"
14,2013-01-10 19:21:00,2013-01-11 07:21:00,0.261,12,0.02175,0.216,0.162,0.144,0.126,0.09,108.79042506265,0.137075935578939,124.978710680211,0.157473175457066,0,0,0,0,"SW1","SW1-20"
15,2013-01-29 00:00:00,2013-01-30 00:38:00,0.64,24.6333333333333,0.0259810554803789,0.756,0.594,0.504,0.396,0.324,395.309769652647,1.56542668782448,405.397683427883,1.60537482637442,0,0,0,0,"SW1","SW1-21"
16,2013-03-09 16:08:00,2013-03-11 22:18:00,1.161,53.1666666666667,0.0218369905956113,0.216,0.216,0.18,0.144,0.126,491.759988848595,0.708134383941976,584.666938163937,0.841920390956069,0,0,0,0,"SW1","SW1-22"
17,2013-03-27 10:00:00,2013-04-06 11:35:00,0.117,241.583333333333,0.000484304932735426,0.108,0.108,0.108,0.072,0.054,47.1855454796586,0.0339735927453542,44.1654128763891,0.0317990972710002,0,0,0,0,"SW1","SW1-23"
18,2013-04-08 09:11:59,2013-04-15 15:32:00,1.661,174.333611111111,0.00952770948421051,2.652,1.38,0.92,0.46,0.306,1000.31667800446,4.6014567188205,1028.55686711789,4.73136158874228,0,0.036,0.036,0.117,"SW1","SW1-24"
19,2013-04-17 13:14:59,2013-04-19 09:42:00,0.342,44.4502777777778,0.007693990163791,0.216,0.162,0.144,0.144,0.117,144.080817394739,0.207476377048424,154.215118338039,0.222069770406776,0,0.018,0.824,1.697,"SW1","SW1-25"
20,2013-05-02 14:55:00,2013-05-03 21:07:00,1.847,30.2,0.061158940397351,0.972,0.708,0.616,0.524,0.379,1203.60618884504,6.30689642954801,1279.61819668818,6.70519935064607,0,0,0,0.027,"SW1","SW1-26"
