"","variable","perc_var","mdc_all","mdc_corn","mdc_alfalfa","pval_groups","pval_after","pval_corn","pval_alfalfa"
"1","SS (mg/L)",46.9,32,45,34,0,0,0.12,0
"2","Cl (mg/L)",16.4,23,33,24,0,0,0.61,0
"3","NO2 + NO3 (mg/L)",4.3,35,48,37,0,0,1,0
"4","NH4 (mg/L)",41.8,28,40,30,0,0,0,0
"5","TKN (mg/L)",24,18,26,19,0,0,0,0
"6","DRP (mg/L)",8.4,17,26,19,0.45,0.5,1,0.45
"7","TP (mg/L)",32.5,17,26,19,0,0,0.13,0
"8","TN (mg/L)",14.2,20,30,22,0,0,0.51,0
"9","Org N (mg/L)",31.6,18,27,20,0,0,0.01,0
"10","SS (pounds)",35.8,42,58,45,0,0.01,0.47,0
"11","Cl (pounds)",19.4,38,52,40,0.45,0.53,1,0.45
"12","NO2 + NO3 (pounds)",10.4,45,61,48,0,0,1,0
"13","NH4 (pounds)",42.6,37,51,39,0.08,0.15,0.07,0.46
"14","TKN (pounds)",27.3,35,49,37,0.45,0.56,0.56,0.68
"15","DRP (pounds)",19.5,39,54,42,0.97,1,1,1
"16","TP (pounds)",27.7,36,50,38,0.69,0.89,1,0.89
"17","TN (pounds)",19.6,37,51,40,0.01,0.04,0.87,0.01
"18","Org N (pounds)",23.6,36,50,38,0.58,0.75,0.75,0.85
"19","Peak Discharge",39,28,40,30,0.14,1,1,1
