"site","unique_storm_number","storm_start","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max"
"SW3",1,2014-03-11 00:00:59,2014-02-24 23:00:59,3.39,2.97333333333333,3.39,2.7975,3.39,2.285,3.39,2.07066666666667,3.39
"SW3",3,2014-03-14 12:15:00,2014-02-28 11:15:00,4.28,4.17,4.28,4.02666666666667,4.28,3.32428571428571,4.28,2.48642857142857,4.28
"SW3",4,2014-03-18 14:30:00,2014-03-04 13:30:00,5.14,5.06,5.14,4.97,5.14,4.50714285714286,5.14,3.44642857142857,5.14
"SW3",6,2014-03-27 11:26:59,2014-03-13 11:26:59,46.8,43.15,46.8,39.8333333333333,46.8,27.52,46.8,16.3221428571429,46.8
"SW3",7,2014-03-28 10:27:00,2014-03-14 10:27:00,71.8,59.3,71.8,52.7,71.8,36.4714285714286,71.8,21.145,71.8
"SW3",10,2014-04-12 13:32:00,2014-03-29 13:32:00,65.7,51.8,65.7,49.8666666666667,65.7,60.8714285714286,78.4,97.1,218
"SW3",11,2014-04-13 02:15:00,2014-03-30 02:15:00,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
"SW3",12,2014-04-13 18:45:59,2014-03-30 18:45:59,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
"SW3",13,2014-04-29 17:01:59,2014-04-15 17:01:59,45.5,35.75,45.5,34.3333333333333,45.5,36.9,47.2,61.6642857142857,173
"SW3",15,2014-05-07 11:48:59,2014-04-23 11:48:59,23.1,23.05,23.1,24.6333333333333,27.8,43.4428571428571,86.7,45.3857142857143,106
"SW3",16,2014-05-12 05:19:00,2014-04-28 05:19:00,194,108.1,194,82.2333333333333,194,53.9428571428571,194,56.2214285714286,194
"SW3",19,2014-06-01 18:15:00,2014-05-18 18:15:00,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8
"SW3",20,2014-06-01 20:39:59,2014-05-18 20:39:59,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8
