"unique_storm_number","site","storm_start","period","days_since_planting","days_since_fertilizer","days_since_cultivation"
1,"SW3",2014-03-11 00:00:59,"before",0,143,287
3,"SW3",2014-03-14 12:15:00,"before",0,146,290
4,"SW3",2014-03-18 14:30:00,"before",0,150,294
6,"SW3",2014-03-27 11:26:59,"before",0,159,303
7,"SW3",2014-03-28 10:27:00,"before",0,160,304
10,"SW3",2014-04-12 13:32:00,"before",0,175,319
11,"SW3",2014-04-13 02:15:00,"before",0,176,320
12,"SW3",2014-04-13 18:45:59,"before",0,176,320
13,"SW3",2014-04-29 17:01:59,"before",0,192,336
15,"SW3",2014-05-07 11:48:59,"before",0,200,344
16,"SW3",2014-05-12 05:19:00,"before",0,205,349
19,"SW3",2014-06-01 18:15:00,"before",4,4,4
20,"SW3",2014-06-01 20:39:59,"before",4,4,4
21,"SW3",2014-06-01 22:57:59,"before",4,4,4
23,"SW3",2014-06-02 10:34:00,"before",5,5,5
25,"SW3",2014-06-18 08:53:59,"before",21,21,21
29,"SW3",2014-08-11 21:13:59,"before",75,52,75
30,"SW3",2014-08-12 01:14:59,"before",76,53,76
32,"SW3",2014-08-18 17:23:00,"before",82,59,82
34,"SW3",2014-08-19 01:59:59,"before",83,60,83
35,"SW3",2014-08-25 07:09:00,"before",89,66,89
36,"SW3",2014-09-04 19:48:59,"before",99,76,99
37,"SW3",2014-09-05 05:30:00,"before",100,77,100
39,"SW3",2014-09-20 03:09:00,"before",115,92,115
42,"SW3",2014-10-03 05:26:59,"before",128,105,128
43,"SW3",2014-10-13 19:12:00,"before",138,115,138
44,"SW3",2014-10-14 12:11:00,"before",139,116,139
45,"SW3",2014-10-15 01:18:00,"before",140,117,140
46,"SW3",2014-12-16 07:00:00,"before",0,35,202
47,"SW3",2014-12-23 04:45:00,"before",0,42,209
48,"SW3",2015-03-08 12:15:00,"before",0,117,284
50,"SW3",2015-04-09 14:46:00,"before",0,149,316
51,"SW3",2015-04-09 19:14:59,"before",0,149,316
52,"SW3",2015-04-10 01:09:59,"before",0,150,317
