"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","prcp","snow","snwd","snwd_diff","period","days_since_planting","days_since_fertilizer","days_since_cultivation","weq"
3,"ESW3-2",66,2.6,0.4,1.12,2.17,0.263,0.386,2.57,1.05,41.97131532,1.653415452,0.254371608,0.7122405024,1.3799659734,0.16724933226,0.24546860172,1.6343375814,0.667725471,10186.56,"HT",NA,NA,NA,NA,NA,NA,TRUE,NA,"SW3","WY14","2014-03-14 12:15:00","2014-03-16 00:06:59",2014-03-14 12:15:00,"2014-03-16 00:06:59",0.2944,"2014-03-14 12:15:00","2014-03-14 12:16:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,4.17,4.28,4.02666666666667,4.28,3.32428571428571,4.28,2.48642857142857,4.28,0.951056516295153,0.309016994374948,6.7,-14.9,0,0,8.00525366666667,-2.755907,"before",0,146,290,0.2755907
4,"ESW3-3",105,2.5,0.3,1.59,3.64,0.514,0.797,3.94,2.05,89.5397769,2.13189945,0.255827934,1.3558880502,3.1040455992,0.43831852692,0.67964954466,3.3598735332,1.748157549,13659.84,"HT",NA,NA,NA,NA,NA,NA,TRUE,NA,"SW3","WY14","2014-03-18 14:30:00","2014-03-22 10:45:00",2014-03-18 14:30:00,"2014-03-22 10:45:00",0.3008,"2014-03-18 14:30:00","2014-03-19 13:01:00",0.009,22.5166666666667,0.000399703923019985,0.108,0.054,0.036,0.018,0.009,0,0,0,0,0,0,0,0,5.14,5.06,5.14,4.97,5.14,4.50714285714286,5.14,3.44642857142857,5.14,0.970063921851507,0.242849722095937,5,-8.8,0.21259854,0.9842525,4.5669316,-5.118113,"before",0,150,294,0.5208113
6,"ESW3-4",775,2.6,0.6,1.46,8.6,0.672,2.92,9.2,7.14,529.212687,1.775423208,0.409713048,0.9969684168,5.872553688,0.45887861376,1.9939368336,6.282266736,4.8755852712,10938.24,"HT",NA,NA,NA,NA,NA,NA,TRUE,NA,"SW3","WY14","2014-03-27 11:26:59","2014-03-28 10:27:00",2014-03-27 11:26:59,"2014-03-28 10:27:00",0.925,"2014-03-27 11:26:59","2014-03-28 04:21:00",0.522,16.9002777777778,0.0308870662875364,0.324,0.324,0.288,0.234,0.225,276.415791416748,0.646812951915191,315.091601380949,0.737314347231421,0,0,0,0.009,46.8,43.15,46.8,39.8333333333333,46.8,27.52,46.8,16.3221428571429,46.8,0.995918996147179,0.0902516100310432,5,-0.5,0.40944904,0,0,-3.149608,"before",0,159,303,0.8369608
7,"ESW3-5",371,3.8,0.4,1.71,6.2,0.564,1.55,6.6,4.49,71.83948282,0.735822196,0.077454968,0.3311199882,1.200552004,0.10921150488,0.300138001,1.278006972,0.8694320158,3101.76,"HT",NA,NA,NA,NA,NA,NA,TRUE,NA,"SW3","WY14","2014-03-28 10:27:00","2014-03-28 23:35:00",2014-03-28 10:27:00,"2014-03-28 23:35:00",0.1541,"2014-03-28 10:27:00","2014-03-28 10:28:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.522,0.522,0.522,0.531,71.8,59.3,71.8,52.7,71.8,36.4714285714286,71.8,21.145,71.8,0.997324973108155,0.0730951298980785,5,-0.5,0.01968505,0,0,0,"before",0,160,304,0
10,"ESW3-6",1744,13.9,1,0.89,22,0.162,6.4,23,21.11,164.618776,1.31204185,0.0943915,0.084008435,2.076613,0.015291423,0.6041056,2.1710045,1.992604565,1512,"HT",NA,NA,NA,"HT",NA,"HT",FALSE,"Komiskey, Matthew J.:second half of event is estimated","SW3","WY14","2014-04-12 13:32:00","2014-04-12 20:30:00",2014-04-12 13:32:00,"2014-04-12 20:44:59",0.1834,"2014-04-12 10:12:00","2014-04-12 16:48:00",0.882,6.6,0.133636363636364,0.648,0.432,0.396,0.324,0.315,545.532181925942,1.76752426944005,605.40430902233,1.96150996123235,0,0,0,0,65.7,51.8,65.7,49.8666666666667,65.7,60.8714285714286,78.4,97.1,218,0.982926551979983,-0.183998351657678,6.1,2.8,0.5905515,0,0,0,"before",0,175,319,0.882
11,"ESW3-7",2046,8.8,1.6,0.53,14.9,0.207,4.6,16.5,14.37,391.7678754,1.68502312,0.30636784,0.101484347,2.85305051,0.0396363393,0.88080754,3.15941835,2.751566163,3067.2,"HT",NA,NA,NA,"HT",NA,"HT",FALSE,"Komiskey, Matthew J.:poor sample coverage","SW3","WY14","2014-04-13 02:19:59","2014-04-13 10:14:59",2014-04-13 02:15:00,"2014-04-13 10:14:59",0.3936,"2014-04-13 01:48:00","2014-04-13 04:59:00",0.441,3.18333333333333,0.138534031413613,0.324,0.27,0.252,0.216,0.198,240.072997681968,0.518557674993051,286.874029456011,0.619647903624985,0.882,0.882,0.882,0.882,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273,0.97961369164549,-0.200890555130635,10,2.8,1.01968559,0,0,0,"before",0,176,320,0.441
12,"ESW3-8a,ESW3-8b",2042.72240335352,7.05905915230554,1.23740102468561,0.225039590125757,13.8520353982301,0.319462505822077,4.43521844434094,15.0894364229157,13.6269958081043,2365.5723505,8.174735404,1.432970846,0.2606068408,16.0413338016,0.36995319068,5.13619966332,17.4743046476,15.7807269608,18550.08,"HT, HT","NA, NA","NA, NA","NA, NA","HT, HT","NA, NA","HT, HT",FALSE,"NA, NA","SW3","WY14","2014-04-13 18:45:59","2014-04-14 23:17:00",2014-04-13 18:45:59,"2014-04-14 23:15:00",1.348,"2014-04-13 17:53:00","2014-04-14 03:39:00",0.792,9.76666666666667,0.0810921501706485,0.324,0.27,0.252,0.198,0.162,394.884482807682,0.781871275959211,478.399721854479,0.947231449271868,0.441,1.323,1.323,1.323,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273,0.97961369164549,-0.200890555130635,10,-4.9,1.57874101,3.5039389,0.9842525,1.968505,"before",0,176,320,0.792
13,"ESW3-9",172,25.9,0.05,0.13,3.31,0.045,0.627,3.36,3.18,1.02050696,0.153669362,0.000296659,0.0007713134,0.0196388258,0.0002669931,0.00372010386,0.0199354848,0.0188675124,95.04,"HT",NA,NA,NA,"HT",NA,"HT",FALSE,NA,"SW3","WY14","2014-04-29 17:10:59","2014-04-30 10:45:00",2014-04-29 17:01:59,"2014-04-30 10:45:00",0.0272,"2014-04-29 15:58:00","2014-04-29 23:09:00",0.162,7.18333333333333,0.0225522041763341,0.324,0.216,0.18,0.108,0.072,75.8097623964458,0.0818745433881615,84.0522973044531,0.0907764810888094,0,0,0,0,45.5,35.75,45.5,34.3333333333333,45.5,36.9,47.2,61.6642857142857,173,0.888057322629494,-0.459732739452102,12.2,2.8,0.61023655,0,0,0,"before",0,192,336,0.162
15,"ESW3-10b",2742,7.5,0.4,0.36,19.7,0.085,6.12,20.1,19.34,238.11577356,0.65130135,0.034736072,0.0312624648,1.710751546,0.0073814153,0.5314619016,1.745487618,1.6794890812,1391.04,"HT",NA,NA,NA,"HT",NA,"HT",FALSE,NA,"SW3","WY14","2014-05-07 11:48:59","2014-05-08 08:15:00",2014-05-07 11:48:59,"2014-05-08 08:15:00",0.3864,"2014-05-07 11:48:59","2014-05-07 14:31:00",0.288,2.70027777777778,0.106655693858657,0.756,0.54,0.432,0.306,0.171,189.975097050454,0.581323796974389,201.540555695116,0.616714100427056,0,0,0,0.162,23.1,23.05,23.1,24.6333333333333,27.8,43.4428571428571,86.7,45.3857142857143,106,0.816538051445917,-0.577291616551726,22.8,6.7,0.33070884,0,0,0,"before",0,200,344,0.288
16,"ESW3-11",3186,5.8,0.2,0.05,17.9,0.168,5.85,18.1,17.85,2615.50324296,4.761430888,0.164187272,0.041046818,14.694760844,0.13791730848,4.802477706,14.858948116,14.653714026,13150.08,"HT",NA,NA,NA,"HT",NA,"HT",FALSE,NA,"SW3","WY14","2014-05-12 05:19:59","2014-05-13 03:45:00",2014-05-12 05:19:00,"2014-05-13 15:15:00",2.615,"2014-05-12 04:31:00","2014-05-12 23:53:00",1.318,19.3666666666667,0.0680550774526678,1.92,1.392,1.184,0.996,0.813,1092.8152414741,10.8844398050821,1078.59526960349,10.7428088852508,0,0,0.288,0.45,194,108.1,194,82.2333333333333,194,53.9428571428571,194,56.2214285714286,194,0.763888612790544,-0.645348113229549,18.9,8.9,1.05118167,0,0,0,"before",0,205,349,1.318
