"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge"
1,"ESW3-1,ESW3-1",107.0088365243,5.70132547864507,1.32371134020619,1.52216494845361,3.1459499263623,0.201885125184094,0.507702503681885,4.46966126656848,1.62378497790869,39.19081142,2.088047856,0.484794744,0.557476199,1.152169618,0.0739382104,0.1859404674,1.636964362,0.594693419,5866.56,"HT, HT","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","TRUE, FALSE","NA, NA","SW3","WY14","2014-03-11 10:39:59",NA,"2014-03-11 00:00:59","2014-03-12 21:46:00",0.14
3,"ESW3-2",66,2.6,0.4,1.12,2.17,0.263,0.386,2.57,1.05,41.97131532,1.653415452,0.254371608,0.7122405024,1.3799659734,0.16724933226,0.24546860172,1.6343375814,0.667725471,10186.56,"HT","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY14","2014-03-14 12:15:00","2014-03-16 00:06:59","2014-03-14 12:15:00","2014-03-16 00:06:59",0.2944
4,"ESW3-3",105,2.5,0.3,1.59,3.64,0.514,0.797,3.94,2.05,89.5397769,2.13189945,0.255827934,1.3558880502,3.1040455992,0.43831852692,0.67964954466,3.3598735332,1.748157549,13659.84,"HT","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY14","2014-03-18 14:30:00","2014-03-22 10:45:00","2014-03-18 14:30:00","2014-03-22 10:45:00",0.3008
6,"ESW3-4",775,2.6,0.6,1.46,8.6,0.672,2.92,9.2,7.14,529.212687,1.775423208,0.409713048,0.9969684168,5.872553688,0.45887861376,1.9939368336,6.282266736,4.8755852712,10938.24,"HT","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY14","2014-03-27 11:26:59","2014-03-28 10:27:00","2014-03-27 11:26:59","2014-03-28 10:27:00",0.925
7,"ESW3-5",371,3.8,0.4,1.71,6.2,0.564,1.55,6.6,4.49,71.83948282,0.735822196,0.077454968,0.3311199882,1.200552004,0.10921150488,0.300138001,1.278006972,0.8694320158,3101.76,"HT","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY14","2014-03-28 10:27:00","2014-03-28 23:35:00","2014-03-28 10:27:00","2014-03-28 23:35:00",0.1541
10,"ESW3-6",1744,13.9,1,0.89,22,0.162,6.4,23,21.11,164.618776,1.31204185,0.0943915,0.084008435,2.076613,0.015291423,0.6041056,2.1710045,1.992604565,1512,"HT","NA","NA","NA","HT","NA","HT","FALSE","Komiskey, Matthew J.:second half of event is estimated","SW3","WY14","2014-04-12 13:32:00","2014-04-12 20:30:00","2014-04-12 13:32:00","2014-04-12 20:44:59",0.1834
11,"ESW3-7",2046,8.8,1.6,0.53,14.9,0.207,4.6,16.5,14.37,391.7678754,1.68502312,0.30636784,0.101484347,2.85305051,0.0396363393,0.88080754,3.15941835,2.751566163,3067.2,"HT","NA","NA","NA","HT","NA","HT","FALSE","Komiskey, Matthew J.:poor sample coverage","SW3","WY14","2014-04-13 02:19:59","2014-04-13 10:14:59","2014-04-13 02:15:00","2014-04-13 10:14:59",0.3936
12,"ESW3-8a,ESW3-8b",2042.72240335352,7.05905915230554,1.23740102468561,0.225039590125757,13.8520353982301,0.319462505822077,4.43521844434094,15.0894364229157,13.6269958081043,2365.5723505,8.174735404,1.432970846,0.2606068408,16.0413338016,0.36995319068,5.13619966332,17.4743046476,15.7807269608,18550.08,"HT, HT","NA, NA","NA, NA","NA, NA","HT, HT","NA, NA","HT, HT","FALSE, FALSE","NA, NA","SW3","WY14","2014-04-13 18:45:59","2014-04-14 23:17:00","2014-04-13 18:45:59","2014-04-14 23:15:00",1.348
13,"ESW3-9",172,25.9,0.05,0.13,3.31,0.045,0.627,3.36,3.18,1.02050696,0.153669362,0.000296659,0.0007713134,0.0196388258,0.0002669931,0.00372010386,0.0199354848,0.0188675124,95.04,"HT","NA","NA","NA","HT","NA","HT","FALSE","NA","SW3","WY14","2014-04-29 17:10:59","2014-04-30 10:45:00","2014-04-29 17:01:59","2014-04-30 10:45:00",0.0272
15,"ESW3-10b",2742,7.5,0.4,0.36,19.7,0.085,6.12,20.1,19.34,238.11577356,0.65130135,0.034736072,0.0312624648,1.710751546,0.0073814153,0.5314619016,1.745487618,1.6794890812,1391.04,"HT","NA","NA","NA","HT","NA","HT","FALSE","NA","SW3","WY14","2014-05-07 11:48:59","2014-05-08 08:15:00","2014-05-07 11:48:59","2014-05-08 08:15:00",0.3864
16,"ESW3-11",3186,5.8,0.2,0.05,17.9,0.168,5.85,18.1,17.85,2615.50324296,4.761430888,0.164187272,0.041046818,14.694760844,0.13791730848,4.802477706,14.858948116,14.653714026,13150.08,"HT","NA","NA","NA","HT","NA","HT","FALSE","NA","SW3","WY14","2014-05-12 05:19:59","2014-05-13 03:45:00","2014-05-12 05:19:00","2014-05-13 15:15:00",2.615
19,"ESW3-12b",12831,11.8,0.7,0.84,59,0.354,21,59.7,58.16,4346.25284184,3.997021552,0.237111448,0.2845337376,19.98510776,0.11991064656,7.11334344,20.222219208,19.7005740224,5425.92,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-06-01 18:15:00","2014-06-01 20:39:59","2014-06-01 18:15:00","2014-06-01 20:39:59",1.875
20,"ESW3-12c",7504,17.3,0.6,0.74,40.7,0.381,13.3,41.3,39.96,1283.05988384,2.958013858,0.102590076,0.1265277604,6.959026822,0.06514469826,2.274080018,7.061616898,6.8324990616,2738.88,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-06-01 20:39:59","2014-06-01 22:57:59","2014-06-01 20:39:59","2014-06-01 22:57:59",0.9433
21,"ESW3-12d,ESW3-12e",7358.8875,18.755546875,0.8915625,0.646625,37.868828125,0.526046875,12.38846875,38.760390625,37.222203125,5080.62302688,12.948949598,0.615540456,0.4464340384,26.144881298,0.3631861292,8.5530781112,26.760421754,25.6984472596,11059.2,"HT, HT","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","FALSE, FALSE","NA, NA","SW3","WY14","2014-06-01 22:57:59","2014-06-02 04:52:59","2014-06-01 22:57:59","2014-06-02 04:52:59",2.982
23,"ESW3-12g",13099,8.3,0.3,3.48,69,0.666,21.8,69.3,65.52,15466.02623918,9.799833406,0.354210846,4.1088458136,81.46849458,0.78634807812,25.739321476,81.822705426,77.3596487664,18912.96,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-06-02 10:34:00","2014-06-02 13:45:00","2014-06-02 10:34:00","2014-06-02 13:45:59",6.87
25,"ESW3-13b",957,27.5,2.4,0.32,8.2,0.324,2.18,10.6,7.88,112.52869188,3.2335831,0.282203616,0.0376271488,0.964195688,0.03809748816,0.2563349512,1.246399304,0.9265685392,1883.52,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-06-18 08:53:59","2014-06-18 12:29:59","2014-06-18 08:53:59","2014-06-18 16:00:00",0.354
29,"ESW3-14a",3181,5.8,4.8,0.39,14.8,0.25,5.09,19.6,14.41,401.48966052,0.732046536,0.605831616,0.0492238188,1.867980816,0.03155373,0.6424339428,2.473812432,1.8187569972,2021.76,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-08-11 21:15:00","2014-08-12 01:14:59","2014-08-11 21:13:59","2014-08-12 01:14:59",0.7256
30,"ESW3-14b",335,18.5,12.7,0.34,4.69,0.213,1.046,17.39,4.35,39.752306,2.1952766,1.50702772,0.040345624,0.556532284,0.0252753468,0.1241221256,2.063560004,0.51618666,1900.8,"HT","NA","NA","NA","NA","NA","NA","FALSE","Komiskey, Matthew J.:flume undercut….estimated event","SW3","WY14","2014-08-12 01:14:59","2014-08-12 11:15:00","2014-08-12 01:14:59","2014-08-12 11:15:00",0.1973
32,"ESW3-15",6910,5.2,2.8,0.19,26.8,0.241,11,29.6,26.61,1818.8325104,1.368730688,0.737008832,0.0500113136,7.054227392,0.06343540304,2.89539184,7.791236224,7.0042160784,4216.32,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-08-18 17:28:00","2014-08-18 19:00:00","2014-08-18 17:23:00","2014-08-18 19:07:00",2.964
34,"ESW3-16",1139,5.9,3,0.15,8.1,0.231,2.6,11.1,7.95,38.08993684,0.197305204,0.10032468,0.005016234,0.270876636,0.00772500036,0.086948056,0.371201316,0.265860402,535.68,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-08-19 02:01:59","2014-08-19 04:00:00","2014-08-19 01:59:59","2014-08-19 04:14:59",0.1872
35,"ESW3-17",1881,3.4,1.2,0.02,12.3,0.149,3.96,13.5,12.28,44.64124632,0.080691248,0.028479264,0.0004746544,0.291912456,0.00353617528,0.0939815712,0.32039172,0.2914378016,380.16,"HT","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-08-25 07:09:59","2014-08-25 10:14:59","2014-08-25 07:09:00","2014-08-25 10:30:00",0.1973
36,"ESW3-18",493,5.8,2,0.21,4,0.11,1.36,6,3.79,6.6478585,0.0782101,0.026969,0.002831745,0.053938,0.001483295,0.01833892,0.080907,0.051106255,216,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-09-04 19:50:00","2014-09-04 22:45:00","2014-09-04 19:48:59","2014-09-04 23:30:00",0.1008
37,"ESW3-19",1002,3.7,0.9,0.3,6.4,0.161,2.05,7.3,6.1,94.03982424,0.347252844,0.084466908,0.028155636,0.600653568,0.01511019132,0.192396846,0.685120476,0.572497932,1503.36,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY14","2014-09-05 05:35:00","2014-09-05 08:15:00","2014-09-05 05:30:00","2014-09-05 10:30:00",0.5095
