"unique_storm_number","sin_sdate","cos_sdate","tmax","tmin","prcp","snow","snwd","snwd_diff"
1,0.493775550159977,0.869589389346611,8.3,-6.7,0,0,2.9921276,0
3,0.849817091527528,0.527077708642372,3.9,0,0.5118113,0.393701,2.0078751,2.0078751
4,0.907013812802636,0.42110087079609,14.4,-2.8,0.14960638,0,2.50000135,-5.0000027
5,0.914127988185334,0.405425728359997,14.4,-1.1,0.18110246,0.787402,0,-5.0000027
9,0.948361580012172,-0.317191288589106,10.6,1.7,1.03149662,0,0,0
22,0.230305670230613,-0.973118337233262,32.8,18.9,1.1417329,0,0,0
27,-0.263665492728007,-0.964614175691244,32.8,20.6,1.38976453,0,0,0
30,-0.409355958815621,-0.912374757970727,32.8,18.9,0.57086645,0,0,0
32,-0.409355958815621,-0.912374757970727,28.3,18.9,1.2204731,0,0,0
37,-0.545240438540651,-0.838279705217775,30.6,18.9,0.29133874,0,0,0
38,-0.615284599963327,-0.788305055830526,23.3,13.3,1.98819005,0,0,0
39,-0.974100455172421,0.226115685508288,12.8,2.8,2.01968613,0,0,0
40,-0.956234826591906,0.292600335633348,20.6,5.6,0.6299216,0,0,0
42,-0.758305808478563,0.651898995878712,17.8,-3.3,0.83858313,0,0,0
45,0.188226709843243,0.982125605868001,7.2,-11.7,0.46850419,0,3.24803325,-7.0078778
46,0.478733840115788,0.877960084700888,7.2,-8.9,1.16141795,8.1889808,5.0000027,3.9763801
48,0.927541683579196,0.37371971479047,3.3,-6.7,1.21653609,0.5118113,4.6063017,-2.9921276
50,0.995918996147179,0.0902516100310421,8.9,-3.3,0.14960638,0,2.50000135,-4.0157502
51,0.999250011239683,0.0387222808921754,7.2,-4.3,0.16141741,0,0.328084166666667,-2.0078751
53,0.99665890175417,-0.0816763953304215,10,-1,0.1181103,1.4173236,0.5905515,0
55,0.993256849267414,-0.1159345995955,3.9,0,0.76771695,0.1181103,0,0
56,0.991114063993455,-0.133014706534195,2.8,-0.5,1.78740254,3.149608,1.70603766666667,1.968505
57,0.985948149963831,-0.167051625502118,3.9,-0.5,0.53149635,3.3070884,2.362206,0
59,0.972118196629062,-0.234491389570408,15.6,3.3,0.33070884,0,0,-1.968505
61,0.963470548564149,-0.267814305162174,7.8,-2.1,0.35039389,0,0,0
64,0.863142128049912,-0.504961054721519,22.8,1.7,1.46850473,0,0,0
69,-0.111659007121694,-0.993746580436178,28.3,19.4,1.2598432,0,0,0
73,-0.858763958275803,0.512371412128423,14.4,6.1,1.40944958,0,0,0
75,-0.811539059007362,0.584298173628367,12.2,-0.5,1.38976453,0,0,0
77,-0.687052767223668,0.726607524768564,14.4,-2.1,0.44881914,0,0,0
81,0.927541683579196,0.373719714790471,11.7,-15.5,0,0,11.5748094,-7.086618
82,0.951056516295153,0.309016994374948,6.7,-14.9,0.01181103,0,7.4015788,-3.93701
83,0.970063921851507,0.242849722095937,5,-8.8,0.21259854,0.9842525,4.5669316,-5.118113
85,0.995918996147179,0.0902516100310432,11.1,-4.3,0.40944904,0,0,-3.149608
87,0.982926551979983,-0.183998351657678,10,2.8,1.61023709,0,0,0
88,0.97961369164549,-0.200890555130635,10,2.8,1.01968559,0,0,0
89,0.97961369164549,-0.200890555130635,10,-4.9,1.57874101,3.5039389,0.9842525,1.968505
90,0.976010550632369,-0.217723230396531,3.3,-4.9,0.55905542,3.5039389,1.968505,1.968505
93,0.763888612790544,-0.645348113229549,18.9,8.9,1.05118167,0,0,0
95,0.486272707108691,-0.87380710361108,30,18.3,1.34252041,0,0,0
96,0.486272707108691,-0.87380710361108,25.6,16.1,0.5905515,0,0,0
97,0.230305670230614,-0.973118337233261,23.3,16.7,0.98031549,0,0,0
100,-0.655156357209083,-0.755493314072682,22.8,11.7,1.00000054,0,0,0
103,-0.903355802324684,-0.428891937912485,25,13.3,2.61023763,0,0,0
104,-0.903355802324684,-0.428891937912485,23.9,10.6,0.18897648,0,0,0
106,-0.982926551979982,-0.183998351657683,23.9,4.4,0.79921303,0,0,0
107,-0.98594814996383,-0.167051625502123,15,4.4,0.25984266,0,0,0
109,-0.999250011239684,0.0387222808921717,17.8,5,0.33858286,0,0,0
110,-0.974100455172421,0.226115685508287,16.7,8.9,1.30315031,0,0,0
123,0.991114063993455,-0.133014706534195,5,2.2,0.72834685,0,0,0
124,0.988677590232341,-0.150055398344652,5,2.2,0.72834685,0,0,0
125,0.988677590232341,-0.150055398344652,10,1.7,0.1181103,0,0,0
126,0.70558361010718,-0.708626678264457,23.3,13.3,0.22047256,0,0,0
127,0.61528459996333,-0.788305055830523,25.6,12.2,1.3385834,0,0,0
128,0.530730048161936,-0.84754092289283,18.3,3.9,0.48031522,0,0,0
130,0.329408482224533,-0.944187508834199,21.1,13.3,0.80708705,0,0,0
131,0.280230675199217,-0.959932689659744,27.2,13.3,0.64173263,0,0,0
133,-0.924290722193092,-0.381689220266663,23.3,17.2,2.50000135,0,0,0
134,-0.97961369164549,-0.200890555130638,21.7,9.4,0.22047256,0,0,0
137,-0.566701756291121,0.823923005757552,10,-7.7,1.06692971,0.1968505,0,0
138,-0.49377555015998,0.86958938934661,5.6,-2.1,0.42126007,0,0,0
141,-0.304921224656291,0.952377575730397,12.8,0.6,3.50787591,0,0,0
143,-0.255353295116191,0.966847813605277,8.9,-3.2,0.20078751,0,0,0
144,-0.137278772113269,0.990532452132222,11.7,-1,0.36220492,0,0,0
