"","id","date","awnd","pgtm","prcp","snow","snwd","tavg","tmax","tmin","wdf2","wdf5","wsf2","wsf5","wt01","wt02","wt03","wt04","wt05","wt06","wt08","wt09","wt11","wt13","wt14","wt16","wt17","wt18","wt19","wt21","wt22"
"1","USW00014898",2011-10-01,26,NA,0,0,0,NA,144,17,50,350,63,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"2","USW00014898",2011-10-02,17,NA,0,0,0,NA,206,-6,280,330,54,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"3","USW00014898",2011-10-03,20,NA,0,0,0,NA,211,61,60,60,58,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","USW00014898",2011-10-04,10,NA,0,0,0,NA,233,50,200,200,40,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","USW00014898",2011-10-05,14,NA,0,0,0,NA,267,61,150,150,72,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"6","USW00014898",2011-10-06,17,NA,0,0,0,NA,272,67,150,150,67,76,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"7","USW00014898",2011-10-07,41,NA,0,0,0,NA,272,100,180,210,80,125,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","USW00014898",2011-10-08,42,NA,0,0,0,NA,272,133,180,210,76,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","USW00014898",2011-10-09,20,NA,0,0,0,NA,261,100,170,170,58,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","USW00014898",2011-10-10,27,NA,0,0,0,NA,244,83,130,140,80,103,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"11","USW00014898",2011-10-11,17,NA,46,0,0,NA,261,106,150,140,76,98,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"12","USW00014898",2011-10-12,23,NA,97,0,0,NA,244,128,130,130,76,94,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"13","USW00014898",2011-10-13,37,NA,142,0,0,NA,156,117,290,300,98,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"14","USW00014898",2011-10-14,70,NA,0,0,0,NA,128,83,290,290,130,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"15","USW00014898",2011-10-15,81,NA,0,0,0,NA,144,72,280,280,139,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","USW00014898",2011-10-16,66,NA,0,0,0,NA,150,72,260,260,130,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","USW00014898",2011-10-17,68,NA,0,0,0,NA,150,67,280,280,130,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","USW00014898",2011-10-18,30,NA,3,0,0,NA,111,28,30,30,94,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"19","USW00014898",2011-10-19,83,NA,5,0,0,NA,100,33,10,10,134,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"20","USW00014898",2011-10-20,72,NA,10,0,0,NA,72,17,360,20,139,183,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"21","USW00014898",2011-10-21,17,NA,0,0,0,NA,122,6,260,270,54,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","USW00014898",2011-10-22,18,NA,0,0,0,NA,167,-6,280,290,58,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","USW00014898",2011-10-23,18,NA,25,0,0,NA,133,0,160,290,76,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"24","USW00014898",2011-10-24,41,NA,0,0,0,NA,156,50,280,280,98,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","USW00014898",2011-10-25,64,NA,56,0,0,NA,94,44,40,40,116,139,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"26","USW00014898",2011-10-26,34,NA,3,0,0,NA,100,28,10,360,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"27","USW00014898",2011-10-27,15,NA,0,0,0,NA,100,6,280,290,45,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","USW00014898",2011-10-28,13,NA,0,0,0,NA,111,-17,230,220,58,80,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"29","USW00014898",2011-10-29,11,NA,0,0,0,NA,106,-17,290,300,54,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"30","USW00014898",2011-10-30,30,NA,36,0,0,NA,100,-17,150,140,98,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"31","USW00014898",2011-10-31,22,NA,0,0,0,NA,72,28,210,200,40,58,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"32","USW00014898",2011-11-01,36,NA,0,0,0,NA,156,22,140,150,80,98,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"33","USW00014898",2011-11-02,38,NA,180,0,0,NA,94,44,360,10,116,156,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"34","USW00014898",2011-11-03,34,NA,0,0,0,NA,94,-11,20,30,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","USW00014898",2011-11-04,12,NA,0,0,0,NA,106,-28,160,170,40,58,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"36","USW00014898",2011-11-05,39,NA,0,0,0,NA,122,-11,180,170,76,98,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"37","USW00014898",2011-11-06,55,NA,0,0,0,NA,144,61,200,190,112,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","USW00014898",2011-11-07,35,NA,0,0,0,NA,144,22,250,250,98,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","USW00014898",2011-11-08,38,NA,127,0,0,NA,67,39,40,30,103,139,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"40","USW00014898",2011-11-09,84,NA,432,51,0,NA,56,6,30,40,139,183,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA
"41","USW00014898",2011-11-10,43,NA,0,0,25,NA,44,-6,280,280,72,98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA
"42","USW00014898",2011-11-11,35,NA,0,0,25,NA,50,-6,210,200,76,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","USW00014898",2011-11-12,27,NA,0,0,0,NA,128,6,190,190,72,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"44","USW00014898",2011-11-13,44,NA,20,0,0,NA,122,83,210,200,94,125,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"45","USW00014898",2011-11-14,38,NA,0,0,0,NA,100,11,210,150,103,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"46","USW00014898",2011-11-15,30,NA,0,0,0,NA,128,6,280,270,107,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
