"storm_id","lab_id","num_subsamples","sample_start","sample_end","storm_start","storm_end","peak_discharge","storm_type","Suspended Sediment (80154), mg/L","Flag_Suspended Sediment","Suspended Sediment Load, pounds","Chloride (00940), mg/L","Flag_Chloride","Chloride Load, pounds","NO2+NO3(N) (00631), mg/L","Flag_NO2+NO3(N)","NO2+NO3(N) Load, pounds","Ammonium (N) (00608), mg/L","Flag_Ammonium (N)","Ammonium (N) Load, pounds","TKN Unfiltered (00625), mg/L","Flag_TKN Unfiltered","TKN Unfiltered Load, pounds","Dissolved Reactive Phosphorus (00672), mg/L","Flag_Dissolved Reactive Phosphorus ","Dissolved Reactive Phosphorus Load, pounds","TP Unfiltered (00665), mg/L","Flag_TP Unfiltered","TP Unfiltered Load, pounds","Total Nitrogen, computed, mg/L","Total Nitrogen Load, in pounds","Organic Nitrogen, computed, mg/L","Organic Nitrogen Load, pounds","frozen","estimated","discrete","comments","site","water_year"
"East SW1-1","20-12-1","6","40939.5","40939.84375","40939.5","40939.875","0.0903","snowmelt","275",NA,"26.8476395","13.4",NA,"1.308212252","2.7",NA,"0.263595006","0.57",NA,"0.0556478346","3.21",NA,"0.3133851738","0.298",NA,"0.02909307844","0.731",NA,"0.07136590718","5.91","0.5769801798","2.64","0.2577373392",TRUE,FALSE,FALSE,NA,"SW1-Wall","WY12"
NA,NA,NA,NA,NA,"40943.71875","40943.8020833333","0.0356",NA,"68",NA,"0.80691248","3",NA,"0.03559908","1.7",NA,"0.020172812","0.47",NA,"0.0055771892","2.42",NA,"0.0287165912","0.074",NA,"0.00087811064","0.36",NA,"0.0042718896","4.12","0.0488894032","1.95","0.023139402",TRUE,TRUE,FALSE,NA,"SW1-Wall","WY12"
"East SW1-2a","54-12-7","12","40968.1979166667","40968.4583333333","40968.1875","40968.4583333333","0.0804","snowmelt","68","HT","5.94181008","3",NA,"0.26213868","1.7",NA,"0.148545252","0.47",NA,"0.0410683932","2.42",NA,"0.2114585352","0.074",NA,"0.00646608744","0.36",NA,"0.0314566416","4.12","0.3600037872","1.95","0.170390142",TRUE,FALSE,FALSE,NA,"SW1-Wall","WY12"
"East SW1-2b","54-12-8","4","40968.4583333333","40968.71875","40968.4583333333","40968.7291666667","0.0796","rain/snowmelt","892","HT","70.24453616","7.7",NA,"0.606370996","3.4",NA,"0.267748232","0.36",NA,"0.0283498128","2.21",NA,"0.1740363508","0.157",NA,"0.01236366836","0.636",NA,"0.05008466928","5.61","0.4417845828","1.85","0.145686538",TRUE,FALSE,FALSE,NA,"SW1-Wall","WY12"
"East SW1-3","172-12-1","8","40974.8854166667","40975.5763888889","40974.875","40975.5798611111","0.1947","snowmelt","2371",NA,"794.17825758","17.4",NA,"5.828216652","6",NA,"2.00972988","0.23",NA,"0.0770396454","6.6",NA,"2.210702868","0.182",NA,"0.06096180636","2.44",NA,"0.8172901512","12.6","4.220432748","6.37","2.1336632226",TRUE,FALSE,FALSE,NA,"SW1-Wall","WY12"
"East SW1-4","172-12-2","4","40975.8784722222","40976.2291666667","40975.875","40976.2395833333","0.2234","rain/snowmelt","3978",NA,"276.78931956","27.8",NA,"1.934324556","10",NA,"0.6958002","0.48",NA,"0.0333984096","15",NA,"1.0437003","0.219",NA,"0.01523802438","5.61",NA,"0.3903439122","25","1.7395005","14.52","1.0103018904",TRUE,FALSE,FALSE,"Komiskey, Matthew J.:
suspect frost came out after this storm! No soil temp probe in at this point","SW1-Wall","WY12"
"East SW1-5a","71-12-7","10","40980.0694444444","40980.4895833333","40980.0659722222","40980.4895833333","0.1245","rain","1659","HT","187.9145982","44.6",NA,"5.05183308","16.6",NA,"1.88027868","0.13",NA,"0.014725074","6.72",NA,"0.761173056","0.148",NA,"0.0167639304","1.876",NA,"0.2124941448","23.32","2.641451736","6.59","0.746447982",FALSE,FALSE,FALSE,"Komiskey, Matthew J.:
Lab may of split this wrong!","SW1-Wall","WY12"
"East SW1-5b","71-12-8","3","40980.4895833333","40980.6284722222","40980.4895833333","40980.6284722222","0.0548","rain","322","HT","7.29457512","49.1",NA,"1.112309436","18.3",NA,"0.414567468","0.13",NA,"0.0029450148","2.91",NA,"0.0659230236","0.162",NA,"0.00366994152","0.571",NA,"0.01293541116","21.21","0.4804904916","2.78","0.0629780088",FALSE,FALSE,FALSE,NA,"SW1-Wall","WY12"
"East SW1-5c","71-12-9","5","40980.6284722222","40981.1458333333","40980.6284722222","40981.15625","0.1063","rain","740","HT","41.909826","44.6",NA,"2.52591654","18.4",NA,"1.04208216","0.13",NA,"0.007362537","3.18",NA,"0.180098982","0.163",NA,"0.0092314887","0.789",NA,"0.0446849361","21.58","1.222181142","3.05","0.172736445",FALSE,FALSE,FALSE,NA,"SW1-Wall","WY12"
NA,NA,NA,NA,NA,"40998.3263888889","40998.3993055556","0.0158","rain","740",NA,"2.3948472","44.6",NA,"0.144338088","18.4",NA,"0.059547552","0.13",NA,"0.0004207164","3.18",NA,"0.0102913704","0.163",NA,"0.00052751364","0.789",NA,"0.00255342492","21.58","0.0698389224","3.05","0.009870654",FALSE,TRUE,FALSE,NA,"SW1-Wall","WY12"
