"con_storm_start","con_storm_end","con_TP_load","trt_storm_start","trt_storm_end","trt_TP_load","bmp","period","veggieTime","eventId","con_SS_load","trt_SS_load"
2011-07-23 03:25:00,"7/26/2011 13:30",8.1067,2011-07-23 05:15:00,"7/26/2011 13:00",2.4471,0,"calibration",1,1,0.1954,0.1269
2011-07-27 04:35:00,"7/30/2011 12:11",33.5452,2011-07-27 06:45:00,"7/30/2011 15:35",4.212,0,"calibration",1,2,1.8464,0.413
2011-08-12 18:55:00,"8/15/2011 13:25",51.0408,2011-08-12 20:15:00,"8/15/2011 10:00",47.2415,0,"calibration",1,3,3.8352,4.9961
2011-09-25 13:00:00,"9/27/2011 22:00",2.1484,2011-09-25 12:00:00,"9/28/2011 4:05",13.9151,0,"calibration",1,4,0.0384,1.1503
2011-11-02 06:45:00,"11/4/2011 6:48",7.1456,2011-11-02 04:30:00,"11/4/2011 17:50",5.2689,0,"calibration",0,5,0.0891,0.6163
2011-11-08 08:00:00,"11/11/2011 9:15",235.9332,2011-11-08 05:15:00,"11/12/2011 17:25",305.4556,0,"calibration",0,6,11.3472,75.455
2011-12-03 07:35:00,"12/5/2011 16:30",34.7996,2011-12-03 07:20:00,"12/5/2013 12:30",33.2244,0,"calibration",0,7,0.6534,3.1868
2012-01-31 09:15:00,"2/4/2012 13:00",31.7809,2012-01-29 00:35:00,"2/4/2012 14:25",30.9388,0,"calibration",0,8,0.7038,4.7411
2012-02-28 23:58:00,"3/1/2012 15:15",7.4836,2012-02-28 20:15:00,"3/1/2012 11:35",8.7354,0,"calibration",0,9,0.3753,1.2756
2012-03-06 01:10:00,"3/11/2012 3:55",438.3878,2012-03-06 09:30:00,"3/11/2012 20:45",272.989,0,"calibration",0,10,33.2993,192.045
2012-03-30 02:00:00,"4/1/2012 6:00",91.5024,2012-03-29 23:10:00,"4/1/2012 9:40",133.3115,0,"calibration",0,11,4.7531,78.8809
2012-04-19 22:57:00,"4/22/2012 16:45",453.5207,2012-04-19 14:40:00,"4/22/2012 4:15",358.6764,0,"calibration",0,12,31.2237,119.4304
2012-05-02 03:45:00,"5/2/2012 20:00",1.9562,2012-05-02 03:35:00,"5/2/2012 19:35",13.4277,0,"calibration",1,13,0.0662,2.2228
2012-05-03 02:00:00,"5/5/2012 3:30",892.8865,2012-05-03 03:00:00,"5/5/2012 3:45",284.6803,0,"calibration",1,14,147.1618,54.1958
